id,relevance
1,2.4923967642874523
4,2.1763716985090467
5,2.2557236147842503
6,2.299725309489788
7,2.1488382615483292
8,2.4601821968617474
10,2.4021799194452993
11,2.3365613150695252
12,2.2369299822082676
13,2.3771005586700773
14,2.632309828224407
15,2.4882751060439183
19,2.371879754591441
22,2.6436550735895294
24,2.2146488434165565
25,2.224891370010046
26,2.389286687865574
28,2.3771131004459725
29,2.2792998405315914
30,2.295410810054671
31,2.315803463716061
32,2.4179315116826037
33,2.23291693262893
36,2.5741429853833013
39,2.4920978147828876
40,2.4944971104499385
41,2.6563353073934497
42,2.4939841654879684
43,2.43865992122194
44,2.3909341969553486
45,2.540424964554469
46,2.5566155185890667
47,2.380433044014101
49,2.4731603250178185
50,2.5121090955718044
52,2.342852130882924
53,2.1999036130062186
54,2.3020174654686483
55,2.2935644449295243
56,2.518594227790061
57,2.2793971919553093
58,2.206982249748351
59,2.111404271022384
60,2.116116472612748
61,2.251905967326918
62,2.430982700968456
63,2.3350109252199034
64,2.390741826375351
66,2.363919127522054
67,2.3390422469783436
68,2.266954638672673
70,1.997715482293527
71,2.44310316620838
72,2.3322696722689065
73,2.232817119518141
74,2.3310289497184935
76,2.283529081242767
77,2.3012670323839037
78,1.9577214691888063
79,2.140255583368035
80,2.2694326031494807
82,2.3555192588308986
83,2.2827172477124327
84,2.0824066569108175
86,2.1714781160473873
87,2.258266373857491
89,2.0622042823260434
91,2.246528901088124
93,2.233085507396364
94,2.205539530324969
95,2.359413128718191
96,2.122043486590038
97,2.242153804585473
98,2.476233095593311
99,2.2371715915859642
100,2.405065378171437
102,2.2350732856844253
103,2.256736961246015
104,2.28670644811575
107,2.2802012808509455
108,2.2771943598551583
109,2.3717718857534447
110,2.7073911410736575
111,2.7073911410736575
112,2.2030322296404043
115,2.17786702647842
116,2.329523510606312
118,2.3453403045076398
119,2.122937397121095
121,2.3388915735108284
124,2.425704055319973
126,2.373451602707714
128,2.277442603823819
129,2.224351949953261
130,2.2967952978918516
131,2.3076036928176453
132,2.348036589790169
133,2.307657405450757
134,2.2589369771170418
135,2.2056723594573326
137,2.4519382598565325
139,2.443902688347099
140,2.444867036528782
141,2.356491878286812
142,2.092567673351685
144,2.248612965283081
145,2.4368974790039113
146,2.473840578108302
148,2.27920431549308
151,2.3526771806267104
152,2.1926581941918855
153,2.2714828836299303
154,2.388127030341904
155,2.173296539756167
156,2.1157674372501774
159,2.358712740859551
160,2.151338968893766
161,2.388907082423145
163,2.7978176943069717
167,2.237297719414957
168,2.4724567497854384
169,2.261302840486863
170,2.0976650434247417
171,2.410642441683357
173,2.4205194966556256
174,2.4276902288594493
175,2.406853055701898
176,2.2993177569887493
180,2.5595317403348044
183,2.486880657770983
184,2.573828095632161
185,2.573828095632161
187,2.3335949173637784
188,2.2860160487372285
189,2.3266512422360246
190,2.3192782182681455
192,2.6335306947601858
194,2.600826862330773
196,2.247637522110594
197,2.2216884441052076
198,2.2722271790315793
199,2.2722271790315793
200,2.340239236071288
204,2.303941595151512
206,2.2721569629518905
207,2.377444302257367
208,2.3376295534267286
209,2.175526411518385
211,2.6811255821996616
212,2.398622202764644
213,2.408953200545094
216,2.617885057189681
217,2.3905073633267753
218,2.5091799900782057
219,2.442577157712614
220,2.484398550034894
221,2.3491419433345553
222,2.4733500988888197
224,2.2488150125611606
225,2.5000043182238527
228,2.4120899053868703
229,2.2693366751478274
230,2.393720132678694
231,2.379421684235173
232,2.429251150202623
234,2.5438020196367193
235,2.537843431077668
236,2.7485639719915325
237,2.7485639719915325
238,2.5316456693644644
239,2.3752720953305015
240,2.39182920380745
242,2.3936738924845335
243,2.3768580288656165
244,2.3819296638223784
246,2.34732063672733
247,2.412979164335225
248,2.3781278361420823
249,2.2765863233953434
250,2.324581900909148
251,2.4092710663269754
252,2.499891353121239
253,2.2866497917782747
254,2.220115142921989
256,2.339558974428381
258,2.376758038739661
260,2.2607390550770563
262,2.193070821119253
263,2.2016405544651203
264,2.3142657378019784
265,2.2205227901576854
